state_code,state_name,population
GM01,Москва,12480481
GM02,Московская область,6258082
GM03,Краснодарский край,3141509
GM04,Санкт-Петербург,5398064
GM05,Свердловская область,3664715
GM06,Ростовская область,2862889
GM07,Республика Башкортостан,2521840
GM08,Республика Татарстан,3002176
GM09,"Тюменская область
(с ХМАО и ЯНАО)",3043824
GM10,Челябинская область,2866135
GM11,Нижегородская область,2552560
GM12,Самарская область,2537382
GM13,Республика Дагестан,1409430
GM14,Красноярский край,2222227
GM15,Ставропольский край,1655560
GM16,Новосибирская область,2216355
GM17,Кемеровская область,2287237
GM18,Пермский край,1972991
GM19,Волгоградская область,1925215
GM20,Саратовская область,1830840
GM21,Иркутская область,1866880
GM22,Воронежская область,1579415
GM23,Алтайский край,1319564
GM24,Оренбургская область,1186569
GM25,Омская область,1404883
GM26,Республика Крым[a],975208
GM27,Ленинградская область,1260249
GM28,Приморский край,1466775
GM29,Ханты-Мансийскийавтономный округ — Югра,1549313
GM30,"Тюменская область
без ХМАО и ЯНАО",1037432
GM31,Белгородская область,1045518
GM32,Чеченская Республика,545408
GM33,Удмуртская Республика,992177
GM34,Тульская область,1096983
GM35,Владимирская область,1062867
GM36,Хабаровский край,1079986
GM37,Пензенская область,899910
GM38,Кировская область,981619
GM39,Тверская область,959646
GM40,Ярославская область,1022743
GM41,Ульяновская область,932707
GM42,Чувашская Республика,771935
GM43,Брянская область,839822
GM44,Вологодская область,843041
GM45,Липецкая область,736408
GM46,Архангельская область (с НАО),893306
GM47,Рязанская область,800626
GM48,Курская область,756464
GM49,Архангельская область без НАО,860768
GM50,Томская область,781457
GM51,Забайкальский край,722541
GM52,Калининградская область,786313
GM53,Калужская область,760520
GM54,Астраханская область,670980
GM55,Тамбовская область,618017
GM56,Ивановская область,814778
GM57,Республика Бурятия,583973
GM58,Республика Саха (Якутия),642708
GM59,Смоленская область,671357
GM60,Кабардино-Балкарская Республика,452093
GM61,Курганская область,514462
GM62,Республика Коми,641721
GM63,Амурская область,535151
GM64,Республика Мордовия,504534
GM65,Мурманская область,683407
GM66,Орловская область,489801
GM67,Республика СевернаяОсетия — Алания,448301
GM68,Республика Марий Эл,455525
GM69,Костромская область,460694
GM70,Псковская область,443751
GM71,Республика Карелия,497337
GM72,Новгородская область,426582
GM73,Ямало-Ненецкий автономный округ,457079
GM74,Республика Хакасия,373057
GM75,Республика Ингушетия,282147
GM76,Севастополь[a],418773
GM77,Сахалинская область,402063
GM78,Карачаево-Черкесская Республика,199631
GM79,Республика Адыгея,218981
GM80,Республика Тыва,177765
GM81,Камчатский край,245607
GM82,Республика Калмыкия,124462
GM83,Республика Алтай,64464
GM84,Еврейская автономная область,108681
GM85,Магаданская область,134641
GM86,Чукотский автономный округ,35974
GM87,Ненецкий автономный округ,32538
